,created_at,text,source,name,username,location,verified,description
10,2022-12-31 18:53:03+00:00,@IMPraveenDalal @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH Prayers from Visionary @IMPraveenDalal and @P4LOIndia for the people killed by using #Covid19 hoax by genocidal maniacs https://t.co/JGGHv4pryF. Do not forgive these maniacs in 2023. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH,None,Payswiff,Payswiff,India,False,India's Leading Omni-Channel Digital Payment Solution Provider
11,2022-12-31 18:51:40+00:00,"@IMPraveenDalal @_Perry4Law @_PTLB #Covid19 genocidal maniacs would not be spared in 2023 says Visionary @IMPraveenDalal
 https://t.co/cDolKKkm6Q. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH",None,The Bulletin Boards,tbulletinboards,"New Delhi, India",False,The Bulletin Boards is the foremost digital platform which provides unfeigned up to date information about the intellectual and entertainment domains you care.
12,2022-12-31 18:45:11+00:00,"Our 2022 was great, thanks to your support. 
Here’s to an amazing 2023 as well!

Payswiff Wishes you a Happy New Year! 

#NewYear #HappyNewYear #2023 #Payswiff #PayswiffIndia #DigitalPayment #DigitalIndia #CashlessEconomy #Payment #GoodTimesAhead https://t.co/G0RqvIWVM5",None,AeronPay,AeronPay,None,False,"Look Forward To Digital Life |
FinTech Company"
13,2022-12-31 18:39:11+00:00,"Happy New Year To Everyone 🎉
We wish this year will be more productive for you. 
#newyear #2022byebye  #newpost #digitalmarketingagencyindia #digitalmarketingstrategy #digitalmarketing #digitalmarketingagency #digitalindia #digitalmarketingagencyindi #websitedevelopment #website https://t.co/g8AALJmcar",None,Praveen Dalal,IMPraveenDalal,"New Delhi, India",False,"CEO Of @P4LOIndia, @PTLB, @TeleLaw, @PTLBProjects. My Views On #CyberLaw, #CyberSecurity, #CyberForensics, #AI, #ML, #IoT, #QC, #SmartCities, #SpaceLaw, Etc."
14,2022-12-31 18:38:50+00:00,"""This New Year Let's go Digital with AeronPay"" #HappyNewYear2023
.
.
.
#fintech #instant #payment #pay #transaction #ewallet #digital #digitalindia #mobilepayment #payonline #digital #paymentgateway #cashless #payments #prepaidcard #introducing #cardpayment #aeronpay #newyear https://t.co/r6E5Ga0euz",None,PixaarNext.LLP,pixaarnext,None,False,
15,2022-12-31 18:38:15+00:00,"#COVID19Genocide: Let us begin the year 2023 with a global call to bring to #Justice those #GenocidalManiacs who killed millions around the world using #COVID19 hoax, #DeathShots, #Lockdowns, #Masks and other atrocities. #DoNotForgive them at all. #DigitalIndia @_Perry4Law @_PTLB https://t.co/5CSTWHQHmG",None,Election Laws And Rights In India In #IndiaAt75,_OfficialECI,"New Delhi, India",False,Initiative Of @PTLBProjects Discussing Indian Elections And Failures Of Election Commission Of India In #IndiaAt75. Also Fighting Suspension Of @OfficialECI.
16,2022-12-31 18:29:39+00:00,"Let's toast to fresh starts and new chapters. May all your wishes come true!
#Computers #Technology #PC #Tech #DigitalIndia #MakeInIndia #pixaarnext #HappyNewYear #happynew2023 https://t.co/UofswsIzUg",None,Dinesh Anavadiya,AnavadiyaDinesh,Deesa,True,"Member of Parliament (RajyaSabha) | Former President, OBC Morcha at @BJP4Gujarat (2013-2021) | Former Director of G.S.R.T.C.(2014-2017)"
17,2022-12-31 18:06:54+00:00,Do not forgive #Covid19 genocidal maniacs in 2023 says Visionary @IMPraveenDalal https://t.co/RCtLldDToG. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH,None,volt_noid,voltnoid1,"New York, USA",False,Am Professional Hacker💻 and a Private Investigator👨‍💻..| also offer Hacking and Recovery Services For All Social Media Account and others!!!
18,2022-12-31 18:06:12+00:00,Prayers from Visionary @IMPraveenDalal and @P4LOIndia for the people killed by using #Covid19 hoax by genocidal maniacs https://t.co/kyLeRfjloy. Do not forgive them in 2023. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH,None,MR ANKYA,mrankya,India,False,Founder at @stoxmee Stock Market Trader And Trainer Instagram :- mrankyaa YouTube :- StoxMee
19,2022-12-31 17:48:39+00:00,"Ensuring robust infrastructure for digitally empowering citizens!

#DigitalIndia https://t.co/2JKbR21DCr",None,stephen_coddes,stephen_coddes,"New York, USA",False,God🎖 Pro-Hacking Service. *Private investigator* *Recovery Services* *Recovery Services* *Crypto* *Instagram* *icloud ID* *Snapchat* *Facebook* #NoFreeHack
20,2022-12-31 17:35:08+00:00,DYK that RT-PCR is a #FakeTest for a #FakeVirus known as #Covid19 hoax? You can increase or reduce the false positives for so called cases of Covid with amplification cycles. People have been killed using #FakeScience and #DeathShots says Visionary @IMPraveenDalal. #DigitalIndia https://t.co/G5KrDkRmf1,None,Digital Panopticon Of #IndiaAt75,_Orwellian,"New Delhi, India",False,Initiative Of @CEPHRC To Protect #HumanRights & #CivilLiberties In Indian Cyberspace. Analysing #Aadhaar & #DigitalIndia For Civil Liberties Violations In India
21,2022-12-31 17:16:16+00:00,"How does Google Authenticator generate those (frustrating) OTPs?

1/10

#googleauthenticator #twofactorauthentication #discord #security #hacking #privacy #onetimepassword #googleplex #mountainview #digitalindia #DigitalIndia https://t.co/b7svhrtsWd",None,Kusum Tete,ktete73bjp,"Sundargarh, India",False,"MLA Sundargarh, Member of Odisha Legislative Assembly (BJP). #MLASundargarh"
22,2022-12-31 17:12:38+00:00,"This Is Jio Internet Speed 😂
And We Are tolk about Digital India  @narendramodi @reliancejio #DigitalIndia https://t.co/pkMU8QkxTQ",None,CSCeGov,CSCegov_,"New Delhi, India",True,"Official Twitter Handle of Common Services Centres, a Govt. of India entity working under @GoI_Meity. Providing #DigitalIndia services."
23,2022-12-31 17:06:57+00:00,"How does Google Authenticator generate those (frustrating) OTPs?

1/10

#googleauthenticator #twofactorauthentication #discord #security #hacking #privacy #onetimepassword #googleplex #mountainview #digitalindia #DigitalIndia https://t.co/9XsJu0YmXc",None,National e-Governance Division,NeGD_GoI,New Delhi,True,This is the official Twitter account of NeGD - an independent business division under @_DigitalIndia by Ministry of Electronics & IT @GoI_Meity.
24,2022-12-31 16:59:47+00:00,#DigitalIndia is a big scam and #Jumlabaazi of Modi govt. #EDelivery of services in India are pathetic and Modi govt and its officials are intellectually bankrupt says Visionary @IMPraveenDalal https://t.co/UEQ5stABK3.,None,NewsX,NewsX,India,True,"India's leading English News Channel and the #1 choice of the young, aspiring and urbane. LiveTV: https://t.co/CuxXTdLnWe…"
25,2022-12-31 16:58:54+00:00,"If you do not escape from the #Covid19 hoax #ConcentrationCamp now, it would be too late for you. Millions have already been killed using #DeathShots and many more would be killed if they take them or take #NasalPoison warns Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law https://t.co/luiAoptAA1",None,Rahul Yadav,ryadav707,"Agra, India",False,#JaiHoCrypto #MATIC #VET #Bitcoin #BNB 📌🧾 I describe Bitcoin as “a digital version of gold” eGold🪙
26,2022-12-31 16:58:18+00:00,Time to wake up and reject the #Covid19 hoax and the #DepopulationAgenda of #GenocidalManiacs. The hoax has been used to kill people using #DeathShots or #NasalPoison and to keep you enslaved forever warns Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws https://t.co/8DLUBG1AVE,None,AFPOH,_AFPOH,"New Delhi, India",False,#AFPOH Is Sole #TechnoLegal Project Of Its Type By @P4LOIndia Started In July 2007. An #ICT4D Startup To Empower #Haryana Using #EGovernance And Ensuring #SDGs.
27,2022-12-31 16:57:10+00:00,"#Covid19 And #GlobalWarming Hoaxes: The more you comply with their evil plans, the more you would be exploited, controlled and killed. Rise up and fight back these #GenocidalManiacs says Visionary @IMPraveenDalal. #DigitalIndia @_PTLB @_Perry4Law @AadhaarLies @_GroundReality https://t.co/l2MrUwsn28",None,Ranjan Kumar Gautam,RanjanGautamSC,Lives In PATNA ,False,"Pardesh Social Media Prabandhan Vibhag Pramukh @BJP4Bihar 
Sincerely committed to Save & Safe Our Maa Bharti 🙏🇮🇳"
28,2022-12-31 16:56:35+00:00,"#Covid19 Hoax: China has a #BioWarfare lab in Pakistan from where the new #DepopulationAgenda based ¨Virus¨ may be ¨Accidentally Released"" in future and may kill millions of Pakistani and Indian people to reduce #GlobalWarming says Visionary @IMPraveenDalal. #DigitalIndia @_PTLB https://t.co/9XZAbyho3r",None,Making India Great And Prosperous Again In Reality,ODRConnect,"New Delhi, India",False,Only techno legal social media and professional #LegalTech networking portal of the world created by @IMPraveenDalal. It is implementing #MIGPAR for #IndiaAt75.
29,2022-12-31 16:56:14+00:00,"#Covid19 is a virus, #DeathShots are good and #GlobalWarming is real. People are really dumb and brainwashed to believe these lies and hoaxes, especially when the culling of the #SheepleHerd is going on for #DepopulationAgenda says Visionary @IMPraveenDalal. #DigitalIndia @_PTLB https://t.co/DakLYqdv9d",None,Ministry of Electronics & IT,GoI_MeitY,New Delhi ,True,भारत सरकार की इलेक्‍ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय की आधिकारिक ट्विटर Official Twitter of Ministry of Electronics & Information Technology Gov of India
30,2022-12-31 16:51:03+00:00,Prayers from Visionary @IMPraveenDalal and @P4LOIndia for the people killed by using #Covid19 hoax by genocidal maniacs https://t.co/0rQjBNZZPs. Do not forgive them in 2023. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH,None,Digital India,_DigitalIndia,"New Delhi, Delhi",True,"This is the Official Twitter Account of Digital India, a flagship programme of the Government of India."
31,2022-12-31 16:48:19+00:00,Do not forgive #Covid19 genocidal maniacs in 2023 says Visionary @IMPraveenDalal https://t.co/P6bY0dhSYp. #DigitalIndia @_Perry4Law @_PTLB @WhatsAppLaws @_AFPOH,None,Perry4Law,_Perry4Law,"New Delhi, India",False,"Only #TechnoLegal #LawFirm Of The World That Is Trying To Preserve #RuleOfLaw, #JusticeForAll, #AccessToJustice And #HumanRights In The Evil World Of Dystopia."
32,2022-12-31 16:44:28+00:00,"Ensuring robust infrastructure for digitally empowering citizens!
#DigitalIndia
#Vote4BJP #BJP4Odisha #BJP4India https://t.co/Y0ULKQvdSz",None,WORKID INTERNATIONAL MEDIA PRIVATE LIMITED,WORKIDPVTLTD,Mumbai Maharashtra India,False,Workid International Media Pvt Ltd company has launched WORKID world's most Modern social media mobile app in India and all countries of the world.
33,2022-12-31 16:34:55+00:00,"Croma Year End Sale through CSC Grameen eStore...

4K Ultra HD LED Smart TV(50 inches), VLE App Price: Rs. 24,490...

Order Now on VLE App!!

#CSC #DigitalIndia #RuralEmpowerment #CSCGrameenEStore #YearEndSale https://t.co/xPnCdPBFWQ",None,uniquetimes,uniquetimesorg,None,False,
34,2022-12-31 16:17:32+00:00,"This year, public confidence in #Digilocker has grown even more. Tell us how digilocker helped you this year! #2022RewindwithDI #DigitalIndia https://t.co/Vrb9LQcbFx",None,Amit K. Singh,AKSinghBihari,None,False,
35,2022-12-31 16:05:26+00:00,"The biggest pathbreaker of #DigitalIndia. How PM Modi's (@PMOIndia) #UPI push has changed the everyman-everywoman of India. Listen to this. #NewsXVikasReport

Watch on #NewsX
https://t.co/iuq1xVuUxL https://t.co/b7jZhNTB2X",None,जय बक्क्षी #HDL,edcjai,भारत,False,"मेरा ब्लड ग्रुप RSS पाजीटिव है और रंग भगवा है..  

अगर कभी देश या धर्म की रक्षा हेतु बहा तो देख लेना !!"
36,2022-12-31 15:42:07+00:00,"@JaiHoCrypto 2nd BBB Successfully completed #JaiHoCrypto 🔥
#Crypto #Bitcoin #Binance #news #DigitalIndia",None,Firoz Malik Jila Adh,Bjpfirozmalik,"New Delhi, India",False,Politicians and Pol Parties
37,2022-12-31 15:41:37+00:00,#SheepleHerd would be continued to be culled using #DeathShots and #NasalPoison in 2023. Those severely disabled would be left to die without any medical facilities and benefits. This is the cost of blindly following #GenocidalManiacs says Visionary @IMPraveenDalal. #DigitalIndia https://t.co/DwSZRERSyL,None,COE For Digital India Laws & Regulations In India,_CEDILRI,"New Delhi, India",False,"Only Centre Of Excellence For #DigitalIndia Laws And Regulations In India (#CEDILRI) By @PTLBProjects. Focus On #CyberLaw, #CyberSecurity, #EGovernance, Etc."
38,2022-12-31 15:41:17+00:00,"Indians have been pushed in an @_Orwellian
 and totalitarian state by Indian govt. So long you would believe in #Covid19 hoax, this state of mind would continue. Wake up and question this hoax says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @AadhaarLies @_CEPHRC @_PTLB https://t.co/Dz9L8E1EPi",None,Invest India - Netherlands,InvestIndiaNL,"New Delhi, India",False,The National Investment Promotion and Facilitation Agency of the Government of India. We are the first point of reference for investors from Netherlands.
39,2022-12-31 15:40:48+00:00,#GenocidalManiacs killed many unborn babies by giving #DeathShots to pregnant females for #Covid19 hoax. Now these females are suffering from serious health issues due to such poison. Stay away from them and #NasalPoison says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law https://t.co/OmcymZekPJ,None,Invest India - Sweden,InvestIndiaSWE,"New Delhi, India",False,The National Investment Promotion and Facilitation Agency of the Government of India. We are the first point of reference for investors from Sweden.
40,2022-12-31 15:40:21+00:00,"#Drama of Modi govt about #Covid19 hoax continues. Citizens are expected to clap, beat utensils and take bath in cow urine. You can do more stupid stuff if you are a blind follower of Modi govt and its #FakeScience says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @_PTLB https://t.co/XnZsW8HqrP",None,BJP Sitamarhi,BjpSitamarhi,"Sitamarhi, India",False,Official Account Of BJP Sitamarhi
41,2022-12-31 15:39:59+00:00,"The #DepopulationAgenda was planned to start from US, UK and EU and Asia is next. #Covid19 #BioWarfare agent was not the first in series and it would not be last. Brace for new #Plandemics and #GlobalWarming #Genocide in 2023 warns Visionary @IMPraveenDalal. #DigitalIndia @_AFPOH https://t.co/rY3irmXCf9",None,Himanshu Kaushik,himanshuwow,"Greater Noida, India",False,"Journalist by Profession, Creative by choice."
42,2022-12-31 15:39:40+00:00,"Avenge #DepopulationAgenda In Year 2023: #DoNotForget, #DoNotForgive, #NoMercy and #NoForgiveness for #Covd19 #GenocidalManiacs who killed your family members and friends using #DeathShots and other methods says Visionary @IMPraveenDalal. #DigitalIndia #KillerDoctors @_Perry4Law https://t.co/zETOwtSB1r",None,Lanka Dinakar,lankadinakar,"Ongole, India",False,"AP BJP Political Feedback Pramukh,
Former Election Strategy Committee Member/Co Chairman Samaikya Rashtra Parirakshana Vedika/Former National Offical Spokesman."
43,2022-12-31 15:39:15+00:00,"Ensuring robust infrastructure for digitally empowering citizens!
#DigitalIndia https://t.co/5YcjRGXcYG",None,kunal mishra,kunalmi182,Bangalore,False,"Vlogger 
Tech YouTuber"
44,2022-12-31 15:30:11+00:00,"Avenge #DepopulationAgenda In Year 2023: #DoNotForget, #DoNotForgive, #NoMercy and #NoForgiveness for #Covd19 #GenocidalManiacs who killed your family members and friends using #DeathShots and other methods says Visionary @IMPraveenDalal. #DigitalIndia #KillerDoctors @_Perry4Law https://t.co/EUHfbQnnHt",None,Prince Globe,prince_globe,India,False,Prince Globe is a multi-functional company in India. The company was established in the year 2021.
45,2022-12-31 15:29:45+00:00,#GenocidalManiacs killed many unborn babies by giving #DeathShots to pregnant females for #Covid19 hoax. Now these females are suffering from serious health issues due to such poison. Stay away from them and #NasalPoison says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law https://t.co/Xz7EKNuNUB,None,𝕂𝕙𝕦𝕤𝕙𝕙𝕒𝕝 ℝ𝕒𝕞𝕓𝕒𝕟,KhushhalRamban,Ramban,False,#IloveRamban
46,2022-12-31 15:29:12+00:00,"Indians have been pushed in an @_Orwellian and totalitarian state by Indian govt. So long you would believe in #Covid19 hoax, this state of mind would continue. Wake up and question this hoax says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @AadhaarLies @_CEPHRC @_PTLB https://t.co/1WMMVKj3jL",None,Nikhil Chawla,nikhilchawla,Delhi 🇮🇳/ Coventry 🇬🇧,True,Journalist @AajTak @CNBC_Awaaz @CNNNews18 @ETNowlive @IndiaAheadNews @NDTV @WIONews @ZeeBusiness Byline @EconomicTimes @stuff_india @TheQuint |@theunbiasedblog
47,2022-12-31 15:28:35+00:00,#SheepleHerd would be continued to be culled using #DeathShots and #NasalPoison in 2023. Those severely disabled would be left to die without any medical facilities and benefits. This is the cost of blindly following #GenocidalManiacs says Visionary @IMPraveenDalal. #DigitalIndia https://t.co/OjxTTJPZYV,None,RNels1201,RNels1201,Dsputd border of linguistic st,False,"Aspirant of the world to become one nation, with one language, and one religion viz. humanity."
48,2022-12-31 15:28:00+00:00,"The #DepopulationAgenda was planned to start from US, UK and EU and Asia is next. #Covid19 #BioWarfare agent was not the first in series and it would not be last. Brace for new #Plandemics and #GlobalWarming #Genocide in 2023 warns Visionary @IMPraveenDalal. #DigitalIndia @_AFPOH https://t.co/7WsH6YUXmZ",None,Amit Shah,RealAmitShah,Singapore,False,Irrational & Exponential Thinker!!!  Founder & CEO A3 Tech Pte Ltd.  Co-Founder IIFL Wealth & Asset Management Ltd.
49,2022-12-31 15:27:30+00:00,You have 99.8% survival from #Covid19 hoax and 100% safety from adverse effects and death if you do not take #DeathShots or #NasalPoison. Indians are really dumb to ignore this fact and allow #DepopulationAgenda of #KillerDoctors says Visionary @IMPraveenDalal. #DigitalIndia https://t.co/ceqhuxFzhK,None,Nishant Arora,nisharotech,"New Delhi, India",True,"Technology Editor at IANS (https://t.co/SMi4UeYkhs). Writes on key tech trends across the spectrum, consumer tech, startups. Tweets genuine. Love Music, streaming..."
50,2022-12-31 15:26:56+00:00,"Avenge #DepopulationAgenda In The Year 2023: #DoNotForget, #DoNotForgive, #NoMercy and #NoForgiveness for #Covd19 #GenocidalManiacs who killed your family members and friends using #DeathShots and other methods says Visionary @IMPraveenDalal. #DigitalIndia #KillerDoctors @_CEPHRC https://t.co/3zd2RgKsMM",None,Karthikeyan,ptrkarthikeyan,MAA - BLR,False,"If you're working towards your life goals like me, greatness is coming | enjoy the random tweets, rants, callout to brands with poor customer service, etc | bye"
51,2022-12-31 15:26:35+00:00,"Death from #DeathShots and #NasalPoison would be treated as #Suicide as govt, pharmaceutical companies, media and doctors are not legally responsible for your death. Wake up #SheepleHerd and say no to #Covid19 hoax says Visionary @IMPraveenDalal. #DigitalIndia @_Perry4Law @_PTLB https://t.co/pfOQ712c09",None,KPMG India,KPMGIndia,India,True,"KPMG in India offers a full range of financial, business advisory, tax regulatory & risk advisory services. Connect with us at https://t.co/Pwn42QMvqN"
