Tweets,Effectiveness,Intensity,Polarity,Annotated By,Date
Still for sale | Jaiz Bank #fearwomen he is 37 Juicy Bitcoin 10th of February Grammy Lagosians Yorubas Gbadebo Rhodes Doctor Benin Rinu #SayNoToAPC #Naira Ambode Sandra Bayern Igbos Lagos State Seyi Vibez Burna #Budget2023 Biblical Zubimendi Surgeon's Diary ATMs,-2,2,0,Deena Nath,14/03/2023
"Carrying forward longs till #Budget. will sleep peacefully. Fuck Hindenburg, Fuck Short sellers. Hail India and Hail India Inc. #BudgetSession #Budget2023",1,4,1,Deena Nath,14/03/2023
Check out our new blog on what market and Indian incorporation expect from Union Budget 2023-24 written by our CEO @RKALYANARAMAN11 Click to know more â€“ #EspressoInvest #Budget2023 #Unionbudget2023 #FinanceMinister #BudgetExpectations #Nse #Bse,-2,2,0,Deena Nath,14/03/2023
Best Budget Class on Best News Channel of the country with former Finance Minister Jayant Sinha ji. Live from IIMT Group of Colleges Greater Noida. from 27th to 31st January at 7:30PM on Aaj Tak. Call Us: 9520886860 #budget2023 #jayantsinha #IIMTIndia,-2,2,0,Deena Nath,14/03/2023
Todayâ€™s Bank Nifty Move 38680 ~40789 Again 40789~ 38419 ðŸ˜ƒ ðŸ”¥ Trailer of #Budget2023,-1,3,1,Deena Nath,14/03/2023
"Budget 2023-24: All-Party Meeting in Parliament Begins, Congress Leaders Absent #Budget2023 #UnionBudget2023 #Congress @INCIndia",1,4,1,Deena Nath,14/03/2023
"#Budget2023 comment by Nitin Arora, Partner, Transaction Advisory Services on Tax parity long overdue. #ASA #Accounting #BudgetExpectations #Taxation #Budget #Finance #DoingBusinessInIndia #BusinessSupport #Budget23 #BudgetBytes #Business #Tax #India #Growth",2,4,-1,Deena Nath,14/03/2023
Farmers are hopeful ahead of #Budget2023 . They expect that the govt will include new schemes in favor of the farmers. Let's listen #Budget @FinMinIndia,2,3,1,Deena Nath,14/03/2023
"CTI Seeks Relief For Middle Class, Small Traders In Upcoming Budget 2023 #Budget2023",2,3,1,Deena Nath,14/03/2023
Pre-Budget we saw good correction in market. Gov. POV : This budget is very imp for 2024 elections. Keeping close eyes on quality stocks for reversal sign. #Budget2023,2,4,1,Deena Nath,14/03/2023
"The Economic Survey of India 2023-24 will be tabled by Finance Minister Nirmala Sitharaman on Tuesday, January 31. #Budget2023 #FinanceMinister #Finance #news",1,3,0,Deena Nath,14/03/2023
"Trade like never before with ""Bitspan""! The fastest, safest, and most user-friendly crypto exchange platform. Buy, sell, and store your digital assets with ease. Experience the future of trading now!"" Download Now - #cryptotrading #Crypto #budget2023",1,2,0.5,Deena Nath,14/03/2023
The final stage of the Budget preparation process for Union Budget 2023-24 commenced with the Halwa ceremony in the presence of Union Finance Corporate Affairs Minister Smt. @nsitharaman #Budget #budget2023,1,3,1,Deena Nath,14/03/2023
"In eight months, Centre's mop up from Securities Transaction Tax (STT) exceeded its full year's budgetted target. The Centre raised â‚¹20,820 crore in STT collections between April-Nov against FY23 BE of â‚¹20,000 Crore. Will the #Budget2023 see upward revision of STT? #Budget",2,3,0,Deena Nath,14/03/2023
"Budget 2023: From 10-Year Tax Holiday to Less Holding Period of ESOP Shares, Indian Startups Share Their Expectations #Budget2023 #UnionBudget #TaxHoliday #ESOPShares #IndianStartups #DigitalIndia",1,3,0.5,Deena Nath,14/03/2023
"Nifty on a rollercoaster today with massive intraday fluctuations from 160pt opening dip to +250, then -150 to +100, followed by -200 finally +150. What a chaotic market environment. Better to sit out and watch until market stabilizes #Budget2023 #AdaniSaga #StockMarket""",2,4,-1,Deena Nath,14/03/2023
Analysis of government spending patterns in pre-election-budgets over the last 15 years reveals that typically there is an increase in capex allocation towards infrastructure mainly consisting of roads and railways and a cut in defence spending. Let us see this time. #Budget2023,2,4,-0.5,Deena Nath,14/03/2023
"#Budget2023 | India's #EV industry does not expect big shake-ups, barring a few policy tweaks. #BudgetWithBQ Read @vinaykhulbe1's report.",2,3,0.5,Deena Nath,14/03/2023
Let's see how this index will perform if the Union budget cuts agricultural and fertilizers subsidy. ðŸ˜Ž #Budget2023,2,4,-1,Deena Nath,14/03/2023
Budget Primer - What's in it for you? Live at 7 pm with @akshat_khetan Will take questions as well. #budget2023 #middleclass,-2,2,0,Deena Nath,14/03/2023
#CryptoNews -The Ministry of Justice in South Korea announced plans to introduce a #crypto-tracking system to counter money laundering initiatives and recover funds linked to criminal activities #Crypto #Cryptonews #Cryptocurrency #Dogecoin #Budget2023 #NFTArts #MATIC #BNB,-1,2,0.5,Deena Nath,14/03/2023
Business Today has published an article quoted by our co-founders Saurav Ghosh and Vineet Agrawal where they have spoken about what should be the key focus areas from the upcoming Union Budget 2023-24. Read the full article here â€“ #Jiraaf #Budget2023,-1,2,0,Deena Nath,14/03/2023
"Life is too short to watch the budget on news channels, just drop your *mail ids* in comments/DM and we will Save Your time by sending you ""Simplified Budget PPT"". #Budget2023 #BudgetSession",0,2,0,Deena Nath,14/03/2023
@YourStoryCo Media has covered Budget 2023 expectations covering thoughts of IoTech to increase the adaptability of Agricultural Drones. Here is the link. #yourstory #budget2023 #agriculture #kisandrone #agribot #technology #farmers #iotechworld,0,2,0.5,Deena Nath,14/03/2023
"In upcoming BUDGET 2023... #ev #budget2023 #batteries #financeminister,#budgetfashion #budgetplanner #budgetlife #mybudgettravel #budgetbeauty #budgetmeals #slayonbudget #budgetstyle #veganonabudget #budgetingtips #luxuryinteriorsonabudget #pelaminbudget #decoratingonabudget",-2,2,0,Deena Nath,14/03/2023
"Got questions about #Budget2023? Join me, @aakriti_handa, a Budget aficionado, for a members-only #AskMeAnything with The Quint's Editor-in-Chief Raghav Bahl on 3 February â€“ and get them answered LIVE. Become a member to get your invite NOW:",-2,2,0,Deena Nath,14/03/2023
"Coming soon: Comprehensive discussion on the Union Budget 2023-24, with heads of five institutes, organised by @ncaer #Budget2023 #Finance #Macroeconomics",-2,2,0,Deena Nath,14/03/2023
this #market reminds me one sentence ðŸ˜œ âœï¸Seeing loss and booking loss is far more different thingsðŸ˜‰ðŸ˜Ž #nifty #banknifty #StocksInFocus #stocks #TradingView #TRADINGTIPS #tradingpsychology #TradingOpportunity #budget #budget2023 @iamrakeshbansal @NileshShah68 @connectgurmeet,1,3,-0.5,Deena Nath,14/03/2023
37 leaders from 27 parties participated in the all-party meeting today: Government is ready for discussion on any issue in Parliament as per rules and procedures - Parliamentary Affairs Minister Pralhad Joshi after all party meeting convened ahead of #Budget Session. #Budget2023,0,2,0.5,Deena Nath,14/03/2023
"Focus on #ManmadIndoreRailLine, other incomplete projects as FM finalises #Budget2023 #IndoreManmadRailway project has been sanctioned by the Union Govt, lands have been marked, and route map too is ready. #Malegaon #Dhule #Manmad #Indore Read More",2,4,1,Deena Nath,14/03/2023
"She did it having been provoked by the student on 'tights' 'crop top' Dear Parents, Train your children well. See how helpless the teacher is. Would you prefer your child studies in the US or in Africa? #fearwomen #BBTitans #Budget2023 #AdaniGroup #Boehly #PaySiiToMpesa",-2,2,0,Deena Nath,14/03/2023
"#Budget2023: Hospitals urge govt to focus on reducing #GST, comprehensive insurance cover public-private partnerships #capraveensh #gstmitradelhi #Tax4wealth #Monday #gstnews #gstrate #tax #incometax @thegstmitra @tax4wealth",2,4,-1,Deena Nath,14/03/2023
"On the other hand #NiftyAuto was up by 2%, thanks to a relatively good earnings report. Given itâ€™s the week before #Budget2023, may have also added to the #volatility. (3/6)",1,3,0.5,Deena Nath,14/03/2023
Increase Tax on Equity Shares Long term - 20% Short term - 30% STT - 1% #Budget2023,2,3,-1,Deena Nath,14/03/2023
"Lets hope we get some good news for #crypto in coming #Budget2023 . â€œYou can hate or love #Bitcoin , you can not ignore itâ€ #RBI govt has asked to ban #crypto but govt is looking about other countries act towards it. #cryptocurrency #Cryptos #taxreturns #Budget #btc",2,4,0.5,Deena Nath,14/03/2023
"@SejalSud @FinMinIndia @nsitharaman My expectation from Budget 2023 is that it will further promote financial inclusion, encourage innovation and create more job opportunities. #Budget2023 #GrowTogether #UnlockPotential",2,3,1,Deena Nath,14/03/2023
The launch of #MadeinIndia #Nasalvaccine has taken us one step closer to #AtmaNirbharBharat. It is expected by Pharma sector that #Budget2023 will add more value to this programme and help India to become the leader of PharmaCeuticals. @aajtak #Pharmacy #Pharma #DrSameerBhati,2,3,1,Deena Nath,14/03/2023
#Budget2023 | The domestic oil and gas industry is looking for some relief as the upheaval in the global crude prices due to the Russia-Ukraine war led to huge losses. #BudgetWithBQ Read @vikas_xic's report.,2,3,-0.5,Deena Nath,14/03/2023
What are the different types of Indirect taxes? All you need to know #BudgetwithHT #budget2023 #budget,-2,2,0,Deena Nath,14/03/2023
"An indirect #tax is the one levied on goods and services rather than on income or profits. Sales tax, value-added tax (VAT), and excise taxes are examples of indirect taxes. Read more #BudgetwithHT #budget2023 #budget",0,2,0,Deena Nath,14/03/2023
"Budget 2023: Affordable Housing Demand Down by 26% in 2022, Reveals ANAROCKâ€™s Consumer Sentiment Survey #Budget2023 #UnionBudget #AffordableHousingDemand #Anarock #ConsumerSentimentSurvey #RealEstateSector",2,2,-0.5,Deena Nath,14/03/2023
"#Adaniscam will come clean, wonder how??? #ModiHaiToMumkinHai #HidenbergResearch may be true but we don't give a fuck, it doesn't change our vote value, it's still â‚¹500 Chicken half quarter bottle Nationalism #Budget2023",2,4,-1,Deena Nath,14/03/2023
#Budget2023: Why Is â€˜Halwaâ€™ Ceremonyâ€™ Held Ahead Of #Budget? Know More Full Story: #HWNews #BJP #Finance #Business #ModiGovt #UnionBudget2023 #FinanceMinister #PMModi #UnionBudget #NirmalaSitharaman,1,3,-0.5,Deena Nath,14/03/2023
#IncomeTax slab revision to higher standard deduction: What resident individuals expect from #Budget2023 #capraveensh #gstmitradelhi #Tax4wealth #Monday #gstmitra #GST #gstupdates #gstnews #gstrate #tax @thegstmitra @tax4wealth,2,3,0.5,Deena Nath,14/03/2023
â€œSimple effective PLI scheme enabling creation of #solar #manufacturing ecosystem in India on an equitable platformâ€. Read the #Budget2023 recommendations from our VC MD @GyaneshC in an exclusive authored article in @ETEnergyWorld #Budget #solarenergy,2,3,1,Deena Nath,14/03/2023
"#BudgetWithCNBCTV18 | What #edtech #startups expect from #Budget2023 amid profitability issues and funding winter? Ashwin Ajila of @inurture, says, ""Govt should roll out a policy that supports for-profit higher education institutes."" @CNBCTV18News #UnionBudget2023 #Budget",2,4,-1,Deena Nath,14/03/2023
Jeremy Hunt has warned Conservative MPs not to expect tax cuts in his March Budget. The Chancellor told colleagues it would be irresponsible to cut taxes at a time of high inflation. #budget2023 #taxcuts,2,3,1,Deena Nath,14/03/2023
#BudgetWithBQ | Industry chamber #FICCI asks government to scrap windfall tax in its recommendations for #Budget2023.,2,3,-0.5,Deena Nath,14/03/2023
Budget 2023 Expectations | @ThingnaRiaz talks about what women entrepreneurs want from FM? Check below â¬‡ #budget2023 #womenentrepreneurs #personalfinance,1,2,0,Deena Nath,14/03/2023
"#Budget2023 - What the Education Sector is expecting for early education, anaganwadis in India #Budget #UnionBudget2023 #NEP2020",2,3,-1,Deena Nath,14/03/2023
"Bull Call Spread in Banknifty can give ""1 : 5 to 10"" Risk Reward ... should be flavor of #Budget2023 I am doing for me #OptionsTrading (buying)",1,3,1,Deena Nath,14/03/2023
"The economic survey, often described as the governmentâ€™s official report card on the economy, will contain growth projections and much more. Hereâ€™s a lowdown â¤µï¸ #EconomicSurvey #Economy #NirmalaSitharaman #Budget2023 #BudgetWithMC #Budget2023WithMC",2,3,1,Deena Nath,14/03/2023
@YouTube @TeamYouTube FREE #forextrading STRATEGIES #Kojoforex #Budget2023 #SyS #Naira #COTI #Sandra #NFTArts,-2,2,0,Deena Nath,14/03/2023
"#BudgET2023 #RisingBharatSummit | At 4 PM, join us for the #PanelDiscussion on 'Can GoI provide a model to build a resilient #MSME sector?' | #Episode12 #BudgetWithET",0,2,0,Deena Nath,14/03/2023
Some modest Budget expectations from FM Source: Daily Pioneer #Budget2023 #UPSC,1,2,-0.5,Deena Nath,14/03/2023
"#BudgetWithMC | Moneycontrolâ€™s team of editors and experts will analyse the budget threadbare and decode its impact on you as an investor, consumer and taxpayer. For wall-to-wall coverage of #Budget2023, check outðŸ‘‡ #Budget2023WithMC #Moneycontrol",-1,2,0,Deena Nath,14/03/2023
"#Budget2023: Hike in #cigarette #tax, higher spend on rural schemes on anvil for #FMCG cos Read More Here ðŸ”—:",2,3,1,Deena Nath,14/03/2023
#BudgetWithBQ | Industry chamber #FICCI asks government to scrap windfall tax in its recommendations for #Budget2023.,2,3,-0.5,Deena Nath,14/03/2023
Has the budget already been declared anti poor and what not or do we have to wait for it to be presented. #Budget2023 #BudgetSession,2,4,-1,Deena Nath,14/03/2023
"Bajaj Finance | #PersonalFinance â€“ Mood of the Consumer 2023: 60% households expecting decline in #income, looking for relief in new #budget. @CNNnews18 Read more: #BajajFinserv #BajajFinance #FinancialLiteracy #Budget2023",2,3,-0.5,Deena Nath,14/03/2023
Will the last full budget before the general elections of 2024 be populous or pragmatic? #UnionBudget2023 #UnionBudget #Budget2023,0,2,0,Deena Nath,14/03/2023
Soft loans to meet your daily needs. Download keslake app and get of UpTo kes.50000 on your mobile phone. #PaySiiToMpesa #Budget2023 #MainaAndKingangi,-2,2,0,Deena Nath,14/03/2023
@FinMinIndia @nsitharaman Madam we are paying almost 50% tax to get our groceries 30(IT)+18(GST).Rebate on these will increase your GST collection as most of the retailers don't provide GST bill. #Budget2023 #BudgetSession #NirmalaSitharaman,2,4,-1,Deena Nath,14/03/2023
"Gen-Z are hoping that the government has some good things in store for them. They are looking at Budget 2023 with greater expectations than ever before, says @ChandnaAkhil #budget2023 #GenZ #personalfinance #Budgetexpectations",2,4,1,Deena Nath,14/03/2023
ðŸš¨ Breaking: Special announcements has been made for #AdaniGroup in #Budget2023 ! Common white man short it @HindenburgRes ! We are the takers ! #AdaniGroup #AdaniEnterprises #AdaniFPO,,,,Vikash Babu ,
"2023-24 budget is a direct attack on the minorities, and its biggest impact is going to be on the #Muslim community. #Budget2023 #à¤šà¥Œà¤•à¥€à¤¦à¤¾à¤°_à¤¹à¥€_à¤šà¥‹à¤°_à¤¹à¥ˆ",,,,Vikash Babu ,
Nifty prediction for tomorrow 3 February 2023 via @YouTube #OptionsTrading #banknifty #StockMarket #stockmarkets #NIFTYIT #niftyOptions #stockmarketcrash #sharemarkettips #Budget2023 #UnionBudget2023 #SEBI #nifty50,,,,Vikash Babu ,
Increasing the TCS (tax collection at source) for overseas tour packages from 5 percent to 20 percent will hit the tour and travel industry very badly especially since the industry has just started recovering after COVID-19. #UnionBudget #Budget2023 @narendramodi @nsitharaman,,,,Vikash Babu ,
Nifty prediction for tomorrow 3 February 2023 via @YouTube #OptionsTrading #banknifty #StockMarket #stockmarkets #NIFTYIT #niftyOptions #stockmarketcrash #sharemarkettips #Budget2023 #UnionBudget2023 #SEBI #nifty50,,,,Vikash Babu ,
Tati budget h ... How Indian now be make foolish by news channels no transparency #Budget2023,,,,Vikash Babu ,
Respected Hiring Manager/ HR/ TA! Looking for a Job which comes under 30% Tax Slab. So I can contribute to Government for building economy. #job #hr #tax #building #economy #budget2023,,,,Vikash Babu ,
#Surguja #Chhattisgarh: One-day protest against the centralised digital attendance system. #à¤®à¤¨à¤°à¥‡à¤—à¤¾à¤¦à¤¿à¤µà¤¸2023 #ScrapNMMS #Releasependingwages Stop victimising penalizing workers! Increase #MGNREGA #Budget2023 immediately!,,,,Vikash Babu ,
#BBB23 #Budget2023 #BenidormFest2023 #XU100 Fancy an easy win? Want to do something great? You are very welcome to sponsor my Marathon ðŸƒ and or retweet this tweet :-) #HeartMonth,,,,Vikash Babu ,
I may be wrong but still but felt it is unusual to be reported by a foreign research firm on #AdaniEnterprises so called scam ( as it is not yet confirmed) #HindenburgReport is being profited by someone outside #Budget2023 #incometax,,,,Vikash Babu ,
"In the old tax regime, most people having 7 Lakhs were not paying income tax by availing 1.5 Lakhs 80C + 50K NPS. There are other deductions too, which are not available with the new tax regime. #Budget2023 #BudgetSession #UnionBudget",,,,Vikash Babu ,
"#Budget2023 re account bi 2023 aachi, what a coincidence",,,,Vikash Babu ,
ð“ð¡ð¢ð¬ ðŸð¢ð«ð¬ð­ ðð®ðð ðžð­ ð¨ðŸ ð€ð¦ð«ð¢ð­ ðŠðšðšð¥. @Narendraamodi Ji #NewIndia #Budget2023 #AmritkaalBudget #HamaraAppNamoApp via MyNt,,,,Vikash Babu ,
What's better New Tax Regime or Old Tax Regime? #Budget2023,,,,Vikash Babu ,
The entire world was looking forward to Indiaâ€™s Budget | Modi | Budget 2023-2024 | English Sangathi Video Link : @narendramodi @nsitharaman @BJP4India @BJP4TamilNadu @annamalai_k @CTR_Nirmalkumar #IndianEconomy #Budget2023 #Budget #EnglishSangathi #Modi,,,,Vikash Babu ,
Budget 2023: Railways share fires hopes of big Mumbai upgrade Via: @rajtoday Read more on: #Budget2023 #RailwayBudget #MiddayNews #Mumbai,,,,Vikash Babu ,
Toolkit activated! #AdaniEnterprises #Adaniscam #Modi #TukdeTukdeGang #AntiIndiaPropaganda #VandeBharatExpress #Budget2023 #BudgetSession #HindenburgReport #RahulGandhi #RavishKumar #YogiAdityanath #Hindus #bageshwardham,,,,Vikash Babu ,
TV prices wonâ€™t fall soon despite tax cut on open cell parts #budget2023 #OpenCell #samsung #tcl #TVprices,,,,Vikash Babu ,
"@svembu If anything, #Budget2023 should encourage our private sector even further to invest in future proof R D, innovate and work along with the provisions announced and be part of the push to keep boosting the Indian Economy.",,,,Vikash Babu ,
Middle class and salary class is very happy from the budget now see the table and calculate how much money will be saved from the budget of modi government. #Budget2023 #MONEY,,,,Vikash Babu ,
@SonaliDutta11 This is â€œPeople with more than 7 lac CTC watching #Budget2023â€,,,,Vikash Babu ,
Budget 2023: Finance Minister to brief all BJP MPs in Parliament today Read @ANI Story | #Budget2023 #FinanceMinister #NirmalaSitharaman,,,,Vikash Babu ,
gov has reduced the allocation of funds for rural areas. this may sound cruel but in reality ppl in rural areas are mostly migrating to urban areas for jobs. infra development and increase in capex will benifit the rural areas more than giving direct benefits. #Budget2023,,,,Vikash Babu ,
Every person I know has suddenly become an economic expert. #Budget2023,,,,Vikash Babu ,
"Unlike in the old regime, where individuals were required to make certain tax-saving investments such as PPF, EPF or NPS to bring down the taxable income, the new tax regime has no such options. #BudgetWithET #BudgET2023",,,,Vikash Babu ,
"So after going on about expanding the tax net to collect more taxes, #Budget2023 is being celebrated for shrinking it further for direct taxes, hence even less than existing privileged 8 cr people with taxable income will pay taxes. Meanwhile everyone including the poorest",,,,Vikash Babu ,
@R0nShah I am seeing sideways to positive move tomorrow... Lets see... Sebi action fr 5% uc/lc wil stabilize the marjet and if we see closing above #Budget2023 day high thn we may see 18050++++ Hope for upside...,,,,Vikash Babu ,
The suicide bombing is being wrongly portrayed as drone attack on social media which is merely a propaganda: IG KP #KP360Updates #Budget2023 #ImranRiazKhan #PeshawarAttack #UnstoppableWithNBKS2,,,,Vikash Babu ,
"We need to take everyone together. Everyone everything is inter- dependent.Ecology,economy wellbeing of all #life has to be addressed simultaneously for sustainable growth. #SaveSoil #Budget2023 #ConsciousPlanet @FAO @FT @FinancialTimes @FinMinIndia @UNBiodiversity @UNCCD @UN",,,,Vikash Babu ,
@mansukhmandviya Imagine yourself sitting in the examination hall and not able to answer questions ?? @MoHFW_INDIA(#Galatmanagement) kyonki aap torture kr rhe WHY GAP TIME B/W EXAM AND COUNSELLING #SOLONG @neetpg2023 @nsui @DrBRAVE143 #Budget2023 PLS ðŸ™,,,,Vikash Babu ,
"For Brave Men Women I admire Those who for Truth honourâ€™s sake, stand fast suffer long Those who toil while others sleep - who dare while others flee They build a nationsâ€™s pillars deep lift it to the SKY By R.Emerson #TruthAlwaysTriumph #Budget2023 #à¤šà¥Œà¤•à¥€à¤¦à¤¾à¤°_à¤¹à¥€_à¤šà¥‹à¤°_à¤¹à¥ˆ",,,,Vikash Babu ,
